arm,fleet_size,intensity,assignment_mean,assignment_std,wall_mean,wall_std,max_wall_mean,n
hier + filter,60,1.0,0.9229612282740942,0.05538670118821688,0.3096397826183547,0.07750022094885073,1.0726393666118383,3
hier + filter,60,3.0,0.7114073780740447,0.0768935000230716,0.8548864139147584,0.13698996981876344,3.0302503146231174,3
hier + filter,60,5.0,0.48999604780036715,0.061179249230620986,1.7641089102905332,0.2205530278971523,4.972416674718261,3
hier + filter,120,1.0,0.9553150819283068,0.02657247710909958,0.3854244835312574,0.053991273834393776,1.1062356643378735,3
hier + filter,120,3.0,0.9181883348550016,0.0337868572598598,0.59020747606559,0.0854246823681805,2.8836252943923077,3
hier + filter,120,5.0,0.8486996696584393,0.08532637024470849,1.2709565443500936,0.42976514554285833,6.886458334823449,3
hier + filter,240,1.0,0.9553150819283068,0.02657247710909958,0.6326171443249109,0.09948065348222401,1.3421526721989114,3
hier + filter,240,3.0,0.953971828971829,0.03137410896189433,0.7596905477997972,0.06063011416120864,3.152513992972672,3
hier + filter,240,5.0,0.9645560645724259,0.02078756960993677,0.9551166964642624,0.08853646970126375,6.884750328026712,3
hier + heur,60,1.0,0.9229612282740942,0.05538670118821688,0.40724338167294505,0.141733517739131,1.19218067266047,3
hier + heur,60,3.0,0.723695765362432,0.1048019824271243,1.2456863069673154,0.16338897950381023,3.0403193086385727,3
hier + heur,60,5.0,0.5006766902382086,0.06012659982238992,2.3430731679578365,0.34502760020769224,5.371721965881686,3
hier + heur,120,1.0,0.9553150819283068,0.02657247710909958,0.4958716272512404,0.16044741109296629,1.2651806852469842,3
hier + heur,120,3.0,0.9199703366370033,0.03558578516895167,1.3537295181552296,0.17961554777648878,3.4730276480937996,3
hier + heur,120,5.0,0.8654748447451327,0.07531943177284972,2.7696148952990334,0.260743617080375,6.923652603290975,3
hier + heur,240,1.0,0.9553150819283068,0.02657247710909958,0.6656055871106502,0.1818352796956006,1.5037360523516934,3
hier + heur,240,3.0,0.953971828971829,0.03137410896189433,1.516390017853893,0.20754277025422924,3.807555651292205,3
hier + heur,240,5.0,0.9645560645724259,0.02078756960993677,2.9246298601030536,0.44520972516167107,7.735666663696368,3
hier + stacked,60,1.0,0.8994886003777237,0.04452677017142003,0.27418403891012394,0.06065141916912009,2.061541696699957,3
hier + stacked,60,3.0,0.6238064988064989,0.0751701044735734,0.7694283776846302,0.09562090929809121,2.401861323354145,3
hier + stacked,60,5.0,0.4636902637066249,0.06096879331502944,1.5249178282809528,0.17243693240040248,4.387055640108883,3
hier + stacked,120,1.0,0.9491988739772365,0.031755783365028954,0.3057439880147647,0.04765908814695581,0.8025000182290872,3
hier + stacked,120,3.0,0.8799325882659216,0.06632001632003677,0.48947857780880305,0.16340040663278682,2.1396389541526637,3
hier + stacked,120,5.0,0.6929208880125111,0.06929656316725755,1.1414360661158682,0.19078794185355108,4.603625042364001,3
hier + stacked,240,1.0,0.9553150819283068,0.02657247710909958,0.46482558131302304,0.08495930596212459,1.0429860170309742,3
hier + stacked,240,3.0,0.9431693598360265,0.017113267407873407,0.49752179247714096,0.06150971645184307,2.0499026868492365,3
hier + stacked,240,5.0,0.9507502804786836,0.009119273102490682,0.6227423106090771,0.1045738278135126,4.078249990319212,3
mono + filter,60,1.0,0.9553150819283068,0.02657247710909958,0.6878923077261924,0.015064621147917064,4.101305695561071,3
mono + filter,60,3.0,0.6010108093441427,0.09696384861816634,3.0838323598473907,0.3918756370510824,9.177111011619369,3
mono + filter,60,5.0,0.4020615891525578,0.061316960171044606,5.5978773688984615,0.5495448789490475,9.876402638231715,3
mono + filter,120,1.0,0.9553150819283068,0.02657247710909958,1.0820941902119199,0.059117666509806356,3.1411530217155814,3
mono + filter,120,3.0,0.9512076178742846,0.029108991149629695,1.4261720782914873,0.23424691884361185,9.322124999016523,3
mono + filter,120,5.0,0.7952155719498651,0.09849647099812543,4.659254571503653,1.3397392505794516,18.11131931996594,3
mono + filter,240,1.0,0.9553150819283068,0.02657247710909958,1.988335368349435,0.0683121616374236,3.9002496050670743,3
mono + filter,240,3.0,0.953971828971829,0.03137410896189433,2.2414280067109273,0.25542984755894366,8.048653292159239,3
mono + filter,240,5.0,0.9645560645724259,0.02078756960993677,2.555885967924016,0.36732968855272646,17.63379166368395,3
mono + heur,60,1.0,0.9553150819283068,0.02657247710909958,1.594862743457411,0.42045086850280033,3.0284719929719963,3
mono + heur,60,3.0,0.5838498755165422,0.06810617386452499,4.094613087391681,0.7663664256057234,7.2504166746512055,3
mono + heur,60,5.0,0.4129517406677093,0.07257157077105614,7.025412894029455,1.4916439368060905,9.382916653218368,3
mono + heur,120,1.0,0.9553150819283068,0.02657247710909958,1.8689420263876357,0.4274646563145866,3.364958024273316,3
mono + heur,120,3.0,0.9508854092187425,0.02674559268543977,4.8572387312328935,0.6976468301935623,9.422388975508511,3
mono + heur,120,5.0,0.8133973901316832,0.12098697565086858,10.249428926783503,0.4172036155051383,21.11070874767999,3
mono + heur,240,1.0,0.9553150819283068,0.02657247710909958,2.5655152911955192,0.5314334081435489,4.141319349097709,3
mono + heur,240,3.0,0.953971828971829,0.03137410896189433,5.632034784871348,0.7365647830352592,10.405305307358503,3
mono + heur,240,5.0,0.9645560645724259,0.02078756960993677,11.148987782193116,0.9354301616225005,24.68227835682531,3
