arm,fleet_size,intensity,assignment_mean,assignment_std,wall_mean,wall_std,max_wall_mean,n
heuristic,60,1.0,0.9553150819283068,0.02657247710909958,1.5762722644158025,0.42312737619536944,3.0264719777430096,3
heuristic,60,3.0,0.5838498755165422,0.06810617386452499,4.208618113721826,0.602435127092894,8.014139020815492,3
heuristic,60,5.0,0.4129517406677093,0.07257157077105614,7.212022462775043,1.408628028053543,16.163944693592686,3
heuristic,120,1.0,0.9553150819283068,0.02657247710909958,1.9410025425906252,0.3674754249784329,3.490569652058184,3
heuristic,120,3.0,0.9508854092187425,0.02674559268543977,5.077702553504266,0.7168057721330579,9.724430701074501,3
heuristic,120,5.0,0.8133973901316832,0.12098697565086858,10.250023998634992,0.9186721306997965,18.307388643734157,3
heuristic,240,1.0,0.9553150819283068,0.02657247710909958,2.5623929963992182,0.288116531401641,4.096541708956162,3
heuristic,240,3.0,0.953971828971829,0.03137410896189433,5.670378927623652,0.7749127052808152,11.82701395979772,3
heuristic,240,5.0,0.9645560645724259,0.02078756960993677,11.02146038593395,0.814044215565168,21.19302765155832,3
learned (filter),60,1.0,0.9553150819283068,0.02657247710909958,0.662177928548887,0.0615943487653419,2.890444671114286,3
learned (filter),60,3.0,0.6010108093441427,0.09696384861816634,3.1311209766052794,0.38492911453669487,10.647222360906502,3
learned (filter),60,5.0,0.4020615891525578,0.061316960171044606,6.044246814727351,0.4096819845278398,18.65511069384714,3
learned (filter),120,1.0,0.9553150819283068,0.02657247710909958,1.1408457835638501,0.04928569470780279,3.2113469981898866,3
learned (filter),120,3.0,0.9512076178742846,0.029108991149629695,1.4629171017915323,0.27504854122141686,9.60850032667319,3
learned (filter),120,5.0,0.7952155719498651,0.09849647099812543,4.651180720931202,0.9764748331325002,19.043847336433828,3
learned (filter),240,1.0,0.9553150819283068,0.02657247710909958,2.0188555222412194,0.15815614643512385,3.9105279526362815,3
learned (filter),240,3.0,0.953971828971829,0.03137410896189433,2.2705929492655077,0.2993344437379937,8.105250036654374,3
learned (filter),240,5.0,0.9645560645724259,0.02078756960993677,2.5366952863784795,0.39375822777356034,17.264610971324146,3
learned (rank),60,1.0,0.9351936441762349,0.03596684020519965,0.5170342035400614,0.1964129360347837,5.18701400142163,3
learned (rank),60,3.0,0.5333955750622418,0.08450594908057613,2.8137586016683556,0.2084229192298104,6.394735964325567,3
learned (rank),60,5.0,0.370804364701616,0.03265153575327274,5.0209525724622575,0.5802700179052305,11.749444645829499,3
learned (rank),120,1.0,0.9553150819283068,0.02657247710909958,0.5271422782548496,0.0686160551407611,2.538708310263852,3
learned (rank),120,3.0,0.8463775130441796,0.12417011226841776,1.5084795273284415,0.5152253649894657,7.197777624242008,3
learned (rank),120,5.0,0.6082064804741506,0.015447610964132595,4.26223367397214,0.7339629881931593,10.615055720942715,3
learned (rank),240,1.0,0.9553150819283068,0.02657247710909958,0.8315638590834823,0.06407211439526632,3.0986113318552575,3
learned (rank),240,3.0,0.953971828971829,0.03137410896189433,1.0897474127192202,0.20850285618676298,7.9393609970187144,3
learned (rank),240,5.0,0.9532395287958115,0.011733066794259254,1.6005346070999276,0.36476625910336824,13.069930292355517,3
