seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,collect_to,scorer_path,scorer_mode,scorer_top_k,scorer_filter_logit_threshold,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.5078534031413613,194,382,1.5461524879603759,1.0416459990665317,4.6763437043409795,4.9693339969962835,0.5906302504008636,60,6.466666666666667,78725.15515345275,0.5954103749245405
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,stacked,5,-4.0,0.48429319371727747,185,382,1.3263077997475745,0.8455835049971938,4.242370824795216,4.803249961696565,0.5066495795035735,60,6.166666666666667,78424.63287501462,0.5115364590892568
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9855072463768116,68,69,1.8161467674687721,1.808334025554359,3.074383223429322,3.183166030794382,0.12531412695534527,38,1.1333333333333333,151164.4210422168,0.12858766701538116
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9855072463768116,68,69,1.0146841599160563,0.9605409577488899,1.3817745493724942,2.957666991278529,0.07001320703420788,40,1.1333333333333333,151242.8989487311,0.0737796250032261
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,,,rank,3,-2.0,0.9855072463768116,68,69,0.4854462568418703,0.3683330724015832,1.0864249430596828,1.1297919554635882,0.03349579172208905,36,1.1333333333333333,151065.79183032498,0.03760275000240654
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9855072463768116,68,69,0.365972193295433,0.3182908985763788,0.6948416586965321,0.9329579770565033,0.02525208133738488,41,1.1333333333333333,151233.15893805178,0.02973395900335163
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,stacked,5,-4.0,0.9855072463768116,68,69,0.2866956570685126,0.2761669456958771,0.41111684404313564,0.6904170149937272,0.019782000337727368,53,1.1333333333333333,151940.67487860523,0.024271958973258734
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9768518518518519,211,216,4.15043212867911,3.6955835530534387,8.242906507803127,8.829999947920442,0.8964933397946879,97,3.5166666666666666,155348.9732213256,0.900254208012484
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9814814814814815,212,216,1.1739633827582348,1.0307710035704076,1.968635304365307,7.156083011068404,0.2535760906757787,101,3.533333333333333,155541.5578213937,0.2580624590627849
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,,,rank,3,-2.0,0.9537037037037037,206,216,1.1545817757939436,1.0639165411703289,2.6754687423817813,3.4102079225704074,0.24938966357149184,78,3.433333333333333,153989.2906659561,0.2537672910839319
