seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,collect_to,scorer_path,scorer_mode,scorer_top_k,scorer_filter_logit_threshold,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9259259259259259,200,216,1.2839843801446948,0.5471254698932171,6.557531043654308,8.073417004197836,0.2773406261112541,120,3.3333333333333335,156058.8147115845,0.28175145806744695
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9814814814814815,212,216,1.1789502168539912,1.018353970721364,2.0709172531496733,7.272584014572203,0.2546532468404621,101,3.533333333333333,155541.5578213937,0.2588513750815764
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.8350785340314136,319,382,9.64123342236192,10.370270989369601,15.834014216670766,16.867499914951622,3.682951167342253,120,5.316666666666666,157365.9420787059,3.687761625042185
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.6230366492146597,238,382,3.845406088524581,0.6732079782523215,9.367053915048018,10.416000033728778,1.46894512581639,120,3.966666666666667,156237.83573298246,1.4741520409006625
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.8350785340314136,319,382,4.193539375253997,1.3146045384928584,17.675691627664488,18.79612496122718,1.6019320413470268,120,5.316666666666666,157272.28358226834,1.6069178340258077
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9855072463768116,68,69,2.44653202843029,2.5028750533238053,3.6738998256623745,3.734834026545286,0.16881070996169,38,0.5666666666666667,299933.1850915603,0.17220512498170137
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9855072463768116,68,69,0.7576376834101435,0.7020829943940043,0.8097251877188681,2.759499941021204,0.0522770001552999,55,0.5666666666666667,300488.4982942467,0.05624945892486721
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9855072463768116,68,69,1.8826823806444155,1.8424170557409525,2.2976916050538416,3.5944170085713267,0.12990508426446468,40,0.5666666666666667,300011.6629980746,0.1338936670217663
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9861111111111112,213,216,4.785758447488425,4.355396027676761,9.113510022871196,10.012541897594929,1.0337238246574998,99,1.775,304166.9239316282,1.0375897079939023
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9861111111111112,213,216,0.8775154473604979,0.8193334797397256,0.9930937376338989,5.585000035353005,0.18954333662986755,159,1.775,306132.33709241997,0.19417199993040413
