seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.8405797101449275,58,69,1.4633218508105779,1.4439169317483902,2.6612832443788648,2.8996659675613046,0.10096920770592988,30,3.8666666666666667,39169.623128662795,0.1062129579950124
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.8840579710144928,61,69,0.5329480458833817,0.45662501361221075,1.3779832515865562,1.492624985985458,0.03677341516595334,29,4.066666666666666,39055.352560873886,0.040444792015478015
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.8405797101449275,58,69,0.38642144890205155,0.20391610451042652,1.0205754078924654,1.1531669879332185,0.026663079974241555,26,3.8666666666666667,38785.664428768825,0.030377874965779483
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.26851851851851855,58,216,1.8076689663791545,2.010313037317246,2.241062233224511,2.725041937083006,0.3904564967378974,30,3.8666666666666667,39264.05571791904,0.39500337501522154
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.3611111111111111,78,216,1.2259891588689276,1.494875003118068,2.2905525111127645,2.4856659583747387,0.26481365831568837,30,5.2,39278.726496957104,0.2695690409746021
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.36574074074074076,79,216,0.7145364948815701,0.5842710379511118,1.470000046538189,1.6245830338448286,0.15433988289441913,30,5.266666666666667,39189.51815183792,0.15834291593637317
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.2094240837696335,80,382,4.0557602970831645,4.460520984139293,4.8400791303720325,6.975332973524928,1.5493004334857687,30,5.333333333333333,39411.11527316496,1.5540322499582544
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.2591623036649215,99,382,2.032908906913923,2.5114789605140686,3.246402117656544,3.546791966073215,0.7765712024411187,30,6.6,39476.969259925594,0.7813729579793289
11,memphis_osm,25,8.0,40.0,data/osm_cache,30,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.2801047120418848,107,382,1.436771174310097,1.157229533419013,3.6027048132382333,3.826000029221177,0.5488465885864571,30,7.133333333333334,39416.2619691157,0.5537737080594525
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.9855072463768116,68,69,1.7213447684206176,1.6579999355599284,3.1305169919505715,3.25354200322181,0.11877278902102262,38,2.2666666666666666,76780.03901754507,0.12252583401277661
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.9710144927536232,67,69,0.6346334197113047,0.5584579193964601,1.4985169516876338,1.721167005598545,0.04378970596008003,34,2.2333333333333334,76576.82859422837,0.047724375035613775
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.9710144927536232,67,69,0.40361772635546717,0.27004105504602194,0.9741000132635234,1.185416942462325,0.027849623118527234,35,2.2333333333333334,76568.76265902244,0.031752082984894514
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.5509259259259259,119,216,3.4587178314622076,4.00493701454252,4.964593827025965,5.357291083782911,0.7470830515958369,60,3.966666666666667,78548.76318363911,0.7515012089861557
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.7453703703703703,161,216,1.9941326840866909,1.709728967398405,4.266687174094841,4.772917018271983,0.43073265976272523,60,5.366666666666666,78637.41462380144,0.4354090839624405
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.8009259259259259,173,216,1.237352048822989,1.1677085421979427,2.973427006509155,3.394208033569157,0.26726804254576564,60,5.766666666666667,78487.48856810888,0.27208679099567235
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.39267015706806285,150,382,6.740437154670329,8.125728985760361,8.58808402554132,8.915500016883016,2.5748469930840656,60,5.0,78651.579931887,2.580161958001554
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.450261780104712,172,382,2.931654030891106,3.534666437190026,4.656631802208722,5.031124921515584,1.1198918398004025,60,5.733333333333333,78771.11329026,1.125730084022507
11,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.5209424083769634,199,382,2.192934904020787,1.390416466165334,5.11148102232255,5.730999982915819,0.8377011333359405,60,6.633333333333334,78682.40627695213,0.843628374976106
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.9855072463768116,68,69,2.050781912723745,2.0386669784784317,3.457608073949814,3.829833003692329,0.1415039519779384,38,1.1333333333333333,151164.4210422168,0.14558849995955825
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.9855072463768116,68,69,0.8082742401250247,0.7395000429823995,1.7884665867313738,2.0300420001149178,0.0557709225686267,35,1.1333333333333333,151105.74155703996,0.06033100001513958
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.9855072463768116,68,69,0.5535151374161892,0.3949170932173729,1.23418343719095,1.5205000527203083,0.03819254448171705,36,1.1333333333333333,151065.79183032498,0.043604624923318624
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.9768518518518519,211,216,4.822205829205578,4.535458516329527,9.43846846348606,10.038250009529293,1.0415964591084048,97,3.5166666666666666,155348.9732213256,1.0472135830204934
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.9537037037037037,206,216,2.409895866380625,2.285249996930361,5.560884746955708,6.336082937195897,0.520537507138215,76,3.433333333333333,153919.14473684464,0.5257198750041425
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.9537037037037037,206,216,1.3434384637986552,1.2145835207775235,3.3337814966216683,5.137374973855913,0.2901827081805095,78,3.433333333333333,153989.2906659561,0.2953397920355201
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.8350785340314136,319,382,10.553612107720655,11.065666971262544,18.062628770712763,18.88320897705853,4.03147982514929,120,5.316666666666666,157365.9420787059,4.037384542054497
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.887434554973822,339,382,4.299422446272643,3.9877495146356523,8.600868989014998,9.701874922029674,1.6423793744761497,120,5.65,157476.8616301244,1.648239207919687
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.900523560209424,344,382,2.8506476716723546,2.626437461003661,6.09890870982781,7.522333064116538,1.0889474105788395,110,5.733333333333333,156456.0313130509,1.0950858329888433
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.9855072463768116,68,69,2.7788386619447367,2.7903340524062514,4.018749995157123,4.4603340793401,0.19173986767418683,38,0.5666666666666667,299933.1850915603,0.19558225001674145
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.9855072463768116,68,69,1.0526050523301398,0.9626660030335188,2.084916457533836,2.3534579668194056,0.07262974861077964,35,0.5666666666666667,300110.38919145754,0.07844533305615187
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.9855072463768116,68,69,0.7280084132419332,0.5796669283881783,1.406842190772295,1.5188329853117466,0.05023258051369339,36,0.5666666666666667,300079.17552488146,0.05701624997891486
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.9861111111111112,213,216,5.450725919217803,5.018249968998134,10.38095896365121,11.518917046487331,1.1773567985510454,99,1.775,304166.9239316282,1.1822601669700816
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.9861111111111112,213,216,2.7124608825909458,2.5112915318459272,5.811478738905862,6.74166704993695,0.5858915506396443,80,1.775,303145.12872255815,0.5922439590794966
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.9861111111111112,213,216,1.4385690419995054,1.3851244584657252,2.8854267147835344,3.965791896916926,0.31073091307189316,82,1.775,303208.30961020914,0.31713579199276865
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.9842931937172775,376,382,11.184059170011372,11.691666499245912,19.433416018728167,21.11929201055318,4.272310602944344,156,3.1333333333333333,308500.81719026575,4.2779395000543445
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.9842931937172775,376,382,4.430176173665936,4.119687539059669,8.947697875555605,10.000416892580688,1.6923272983403876,139,3.1333333333333333,307464.7457928969,1.6984087500022724
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.9842931937172775,376,382,2.805503831593642,2.5378954596817493,6.071804737439379,7.278500008396804,1.071702463668771,133,3.1333333333333333,307147.25073346344,1.0787232499569654
