fleet_size,intensity,dispatcher,k_label,assignment_mean,assignment_std,wall_mean,wall_std,n
60,3.0,hierarchical,1,0.5636998721275612,0.059353656211376685,4.179213241899594,0.7399429764717214,5
60,3.0,hierarchical,2,0.6422709509688408,0.0927852025873318,2.6612920816037353,0.33110516503326026,5
60,3.0,hierarchical,3,0.6601666258511344,0.0929467654405046,1.9462099918854825,0.2131280238704153,5
60,3.0,hierarchical,4,0.6660948563161636,0.10436877019721476,1.552454136388758,0.177723306507898,5
60,3.0,hierarchical,5,0.670455807704907,0.11247838640934156,1.1356603627707844,0.153728105312669,5
60,3.0,monolithic,0,0.5636998721275612,0.059353656211376685,4.16111442417993,0.7483033104878549,5
120,5.0,hierarchical,1,0.7652268108099374,0.12430791186836007,9.138791474302817,1.2672161873148602,5
120,5.0,hierarchical,2,0.8162442523813731,0.08318598351230455,5.327447343188108,0.8218077545876414,5
120,5.0,hierarchical,3,0.815315092602966,0.0967308241262763,4.060204505234223,0.5687802074608641,5
120,5.0,hierarchical,4,0.8172917110046619,0.09800128405997287,3.3062508437906883,0.5446428321227593,5
120,5.0,hierarchical,5,0.8249962630829252,0.10045825696483349,2.4487169472534527,0.4542867534964428,5
120,5.0,monolithic,0,0.7652268108099374,0.12430791186836007,9.19134136140949,1.2105566675663018,5
