seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.6043956043956044,165,273,1.1816265435903008,1.1900420067831874,2.193592023104427,2.519875066354871,0.32258404640015215,60,5.5,78610.2090989233,0.3267940829973668
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.6621621621621622,147,222,4.251444622609966,4.769041494000703,6.466303899651393,6.75304199103266,0.9438207062194124,60,4.9,78440.18513829076,10.492278667050414
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.6621621621621622,147,222,4.25253195272809,4.753521061502397,6.510814349167049,6.580958957783878,0.9440620935056359,60,4.9,78440.18513829076,0.9481965419836342
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.7657657657657657,170,222,2.8853872156416713,3.0839794781059027,5.580231535714119,5.818459088914096,0.640555961872451,60,5.666666666666667,78465.13077347503,0.6449169589905068
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.7657657657657657,170,222,2.251510871238671,2.275437524076551,4.644485539756715,5.159124964848161,0.49983541341498494,59,5.666666666666667,78431.96492370646,0.5040857499698177
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.7702702702702703,171,222,1.6335015109664686,1.6308334306813776,3.087033610790968,3.390916041098535,0.362637335434556,59,5.7,78340.13795667661,0.366755458060652
37,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.7657657657657657,170,222,1.337478787382343,1.1310830595903099,2.95301245059818,3.441083012148738,0.29692029079888016,60,5.666666666666667,78167.64457296593,0.3009668339509517
53,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.503731343283582,135,268,3.9534433883851143,4.555458493996412,5.745445896172896,6.140375044196844,1.0595228280872107,60,4.5,78628.59622658425,10.949126709019765
53,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.503731343283582,135,268,3.984313435616222,4.421146004460752,5.908114643534645,6.2599999364465475,1.0677960007451475,60,4.5,78628.59622658425,1.071937291068025
53,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.5485074626865671,147,268,2.293861166612287,2.7843749849125743,3.3696294645778835,3.5168329486623406,0.6147547926520929,60,4.9,78763.84154753725,0.6191002499544993
53,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.5634328358208955,151,268,1.9574808169663676,2.297416504006833,3.401887562358752,3.492124960757792,0.5246048589469865,60,5.033333333333333,78732.18290170349,0.5289370409445837
53,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.5223880597014925,140,268,1.4248949270556444,0.969312503002584,2.966997731709853,3.0773330945521593,0.3818718404509127,60,4.666666666666667,78599.42215815536,0.38605904194992036
53,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.5298507462686567,142,268,0.9270163640421607,1.0760000441223383,1.8763500615023068,2.522542024962604,0.24844038556329906,60,4.733333333333333,78648.14744115109,0.2526252920506522
71,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.5632183908045977,147,261,4.9439688619954145,5.529499961994588,7.226499961689115,7.562333019450307,1.2903758729808033,60,4.9,78431.10445220233,11.392175583983772
71,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.5632183908045977,147,261,4.972060195391577,5.5952080292627215,7.243083091452718,7.428417098708451,1.2977077109972015,60,4.9,78431.10445220233,1.3018720839172602
71,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.6053639846743295,158,261,2.5779854847917556,2.7736250776797533,4.393749986775219,4.5172079699113965,0.6728542115306482,60,5.266666666666667,78614.36435709236,0.6769254999235272
71,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.6475095785440613,169,261,2.031195882022723,2.0409160060808063,3.4057910088449717,3.5130420001223683,0.5301421252079308,60,5.633333333333334,78595.21214384919,0.5344902499346063
71,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.6704980842911877,175,261,1.7188127135672389,1.5297919744625688,3.6899589467793703,3.7632499588653445,0.44861011824104935,60,5.833333333333333,78512.48022877792,0.45290833292528987
71,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.6513409961685823,170,261,1.1768660555376005,0.900916988030076,2.7157500153407454,2.880499931052327,0.3071620404953137,60,5.666666666666667,78535.7146913795,0.31136758299544454
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.8350785340314136,319,382,9.376994458195407,9.656145528424531,15.939675038680434,16.869667102582753,3.5820118830306455,120,5.316666666666666,157365.9420787059,3.587909916997887
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.8350785340314136,319,382,9.397500636195032,9.842937462963164,16.170424700248986,16.873792046681046,3.5898452430265024,120,5.316666666666666,157365.9420787059,3.5945723749464378
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.8481675392670157,324,382,4.804716653346587,4.786166537087411,8.412316325120628,8.70374997612089,1.835401761578396,119,5.4,157437.58392084725,1.8401874579722062
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.887434554973822,339,382,3.749351985984194,3.450312535278499,7.406653906218708,8.248375030234456,1.4322524586459622,120,5.65,157476.8616301244,1.4370835829759017
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.8848167539267016,338,382,3.1674715125913786,2.491749997716397,7.485185365658253,7.942166063003242,1.2099741178099066,112,5.633333333333334,156719.4405093956,1.2146861249348149
11,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.900523560209424,344,382,2.4952927527520123,2.3090624599717557,5.321818735683337,6.728958105668426,0.9532018315512687,110,5.733333333333333,156456.0313130509,0.9580499170115218
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.6830357142857143,306,448,9.751544101683455,10.700562444981188,14.808879629708827,15.61899995431304,4.368691757554188,120,5.1,157052.3091594929,4.374440457904711
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.6830357142857143,306,448,9.729525769476563,10.547875484917313,14.839047647546977,15.331750037148595,4.3588275447255,120,5.1,157052.3091594929,4.363928916980512
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.7767857142857143,348,448,6.271561338767891,4.658374993596226,13.279462582431734,14.731374918483198,2.8096594797680154,120,5.8,157250.9186887078,2.8149178330786526
